Identifier_Name,Instance_Description,Instance_Type,Instance_Class,Category(Edition),Region_Id,Zone_Id,Engine,Engine_Version,Status,vCPUs,Memory_GB,Creation_Date,Instance_Specs_Storage_GB,CPU_Util,Min_CPU_Util,Max_CPU_Util,average_CPU_Util,P95_CPU,MEM_Util,Min_Mem_Util,Max_Mem_Util,average_Mem_Util,P95_Mem,DISK_Usage,Max_connections,Max_supported_connections,Environment,Tags
rm-gs589wipl23r7jp7k,smile-to-pay-uat,Primary,mysql.n2.medium.1,Basic,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,2,4.0,2025-06-03T09:06:37Z,200,0.28152542372881356,0.263,0.307,0.28152542372881356,0.28739999999999993,4.568677966101696,4.546,4.585,4.568677966101696,4.5801,1.9851016949152547,0,1000,,
rm-gs5ah5zhy77gh05gm,paas-02-restore-07-17-2024,Primary,mysql.x8.medium.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,16.0,2024-07-24T04:40:03Z,250,0.2699491525423729,0.262,0.316,0.2699491525423729,0.275,5.560169491525423,5.559,5.561,5.560169491525423,5.561,3.566542372881356,0,4000,,
rm-gs5sw7hv1crr00985,dsocdb_prod,Primary,rds.mysql.c2.xlarge,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,16,64.0,2025-07-26T17:21:47Z,8000,0.5104406779661017,0.486,0.546,0.5104406779661017,0.5272,72.7479661016949,72.747,72.749,72.7479661016949,72.749,19.26288135593221,0,16000,,
rm-gs5n731p71znm655c,dev-shared,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,8,16.0,2023-09-22T03:34:25Z,300,0.046135593220338986,0.041,0.054,0.046135593220338986,0.052,8.03986440677966,8.036,8.045,8.03986440677966,8.0441,49.98950847457627,0,4000,,
rm-gs5i80r7i6a20n410,smile-to-pay-test,Primary,mysql.n2.medium.1,Basic,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,2,4.0,2024-09-24T11:29:06Z,200,0.27893220338983055,0.266,0.295,0.27893220338983055,0.28739999999999993,14.517559322033897,14.507,14.528,14.517559322033897,14.524099999999999,2.5569661016949152,0,1000,,
rm-gs5qyh0m44m5b63j0,smile-to-pay-production,Primary,mysql.x2.large.2c,HighAvailability,ap-southeast-1,ap-southeast-1b,MySQL,8.0,Running,4,8.0,2024-11-06T13:24:14Z,500,0.21781355932203392,0.208,0.229,0.21781355932203392,0.225,36.22771186440678,36.196,36.261,36.22771186440678,36.2502,0.8097457627118646,0,2000,,
rm-gs5z05aq6xydz8u2m,rds-mysql-paas-3-tools,Primary,mysql.x4.medium.2c,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.7,Running,2,8.0,2024-08-14T03:07:48Z,600,0.3910677966101694,0.374,0.441,0.3910677966101694,0.4241,91.32722033898304,91.293,91.353,91.32722033898304,91.3472,4.11550847457627,0,2000,,
rm-gs574afzpl9642syo,dsocdb-sit_clone,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,4,8.0,2025-07-26T11:09:25Z,100,0.27615254237288134,0.269,0.283,0.27615254237288134,0.2803,6.025474576271187,6.02,6.03,6.025474576271187,6.029,4.3686779661016955,0,2000,,
rm-gs565d832209271j8,,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,ap-southeast-1b,MySQL,5.6,Running,2,4.0,2025-10-14T01:28:05Z,100,0.8853389830508475,0.855,0.927,0.8853389830508475,0.905,4.357016949152543,4.355,4.359,4.357016949152543,4.359,3.9853898305084745,0,1000,,
rm-gs5667gt3a974ryvn,,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,2,4.0,2022-08-30T08:30:23Z,100,1.4285932203389828,1.258,2.966,1.4285932203389828,2.1743999999999954,34.1935593220339,34.186,34.201,34.1935593220339,34.1991,16.283677966101695,0,1000,,
rm-gs58d2c17zgp5zpcj,zoloz-connect-prod,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,8,16.0,2021-07-07T10:38:17Z,2000,0.16637288135593223,0.158,0.174,0.16637288135593223,0.172,4.8985593220339,4.897,4.9,4.8985593220339,4.8991,0.20500000000000002,0,4000,,
rm-gs51d659e8409k85c,local-03,Primary,rds.mysql.c2.xlarge,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,16,64.0,2019-07-06T04:38:35Z,1000,0.033203389830508474,0.031,0.035,0.033203389830508474,0.034,10.84881355932204,10.848,10.849,10.84881355932204,10.849,43.158,0,16000,,
pgm-gs554p60u21k460e,,Primary,rds.pg.s1.small,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",PostgreSQL,10.0,Running,1,2.0,2019-10-02T02:32:42Z,20,0.16987719298245618,0.083,0.283,0.16987719298245618,0.2693999999999999,1.386684210526316,1.193,1.558,1.386684210526316,1.5408,16.088596491228074,0,100,,
rm-gs5y0201en34199i6,idataops,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2019-03-27T06:36:24Z,100,0.4395593220338982,0.424,0.458,0.4395593220338982,0.45,4.098881355932202,4.098,4.101,4.098881355932202,4.100099999999999,12.842372881355933,0,1000,,
rm-gs54844t8w58tvze0,accatracecloud,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2019-03-21T08:48:02Z,100,0.5248813559322034,0.5,0.55,0.5248813559322034,0.541,4.03,4.03,4.03,4.03,4.03,2.977661016949152,0,1000,,
rm-gs528ne8v6l23f86a,ibillconfig,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-06-04T08:36:12Z,70,0.36093220338983056,0.345,0.375,0.36093220338983056,0.37,5.436983050847458,5.436,5.438,5.436983050847458,5.438,5.702949152542372,0,2000,,
rm-gs550gvc579xqnk70,tools-rds,Primary,rds.mysql.s2.xlarge,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,2,8.0,2019-09-20T07:44:30Z,2000,4.281932203389831,3.624,5.775,4.281932203389831,5.3056,56.804779661016944,56.8,56.808,56.804779661016944,56.808,41.24586440677966,0,2000,,
rm-gs55of74p9i1nk901,idataops,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-03-19T08:32:09Z,100,0.32788135593220336,0.299,0.362,0.32788135593220336,0.3494999999999999,5.375016949152543,5.374,5.377,5.375016949152543,5.376,4.084389830508475,0,2000,,
rm-gs54dndl4199u29fg,dtzbdm,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,4,8.0,2019-02-25T03:16:08Z,500,0.30822033898305085,0.279,0.333,0.30822033898305085,0.329,5.36664406779661,5.366,5.367,5.36664406779661,5.367,0.7938644067796609,0,2000,,
rm-gs5z9gunji3x4318a,ibillflow,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-06-04T08:36:14Z,70,0.19961016949152544,0.187,0.208,0.19961016949152544,0.208,5.268389830508474,5.267,5.27,5.268389830508474,5.27,4.728000000000001,0,2000,,
rm-gs58z9058x73kv0za,datakeeper,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,4,8.0,2019-02-25T03:16:06Z,500,0.16099999999999998,0.15,0.174,0.16099999999999998,0.17,5.193813559322034,5.193,5.195,5.193813559322034,5.195,0.6589999999999999,0,2000,,
rm-gs54181108nhe6658,dpcsc,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,4,8.0,2019-02-25T03:16:04Z,500,0.36610169491525424,0.341,0.409,0.36610169491525424,0.383,7.650457627118643,7.65,7.652,7.650457627118643,7.651,1.1618305084745766,0,2000,,
rm-gs5f62v04u634q5vo,datago,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,4,8.0,2019-02-25T03:16:02Z,500,0.19806779661016952,0.191,0.208,0.19806779661016952,0.20439999999999997,5.230983050847458,5.23,5.232,5.230983050847458,5.232,0.7180000000000002,0,2000,,
rm-gs55r0765hx647kbt,antc,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-01-22T12:22:03Z,200,0.09308474576271186,0.087,0.1,0.09308474576271186,0.0991,7.383661016949153,7.383,7.385,7.383661016949153,7.385,1.7660000000000002,0,2000,,
rm-gs53bs2w28y06l084,apmonitor,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",MySQL,5.6,Running,4,8.0,2019-02-01T06:14:03Z,200,3.772661016949153,3.179,4.094,3.772661016949153,3.955,10.120525423728813,10.039,10.175,10.120525423728813,10.169,3.710816666666666,0,2000,,
rm-gs5g323fvwlkb9cep,myntdw,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-01-10T11:50:02Z,100,0.5384067796610169,0.27,14.571,0.5384067796610169,0.31239999999999996,55.37149152542372,55.371,55.372,55.37149152542372,55.372,36.41061666666666,0,2000,,
rm-gs5yn2w1upj18az68,ialphasecmng,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-12-26T12:30:04Z,100,0.33991525423728813,0.333,0.35,0.33991525423728813,0.35,4.088830508474577,4.086,4.09,4.088830508474577,4.09,3.2769491525423726,0,1000,,
rm-gs5knxc9dr7tkejb2,SRE-Tools,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-12-26T12:14:02Z,100,0.7006101694915253,0.658,0.75,0.7006101694915253,0.741,31.986576271186443,31.986,31.988,31.986576271186443,31.988,9.314616666666668,0,1000,,
rm-gs57578q2008gb5kl,aplus_di,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-01-31T02:18:04Z,100,0.1751525423728814,0.162,0.187,0.1751525423728814,0.183,5.522135593220339,5.521,5.523,5.522135593220339,5.523,3.3849999999999985,0,2000,,
rm-gs50d3j1v032wupd7,dsaas-db,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2019-01-28T07:42:04Z,200,0.15464406779661022,0.149,0.163,0.15464406779661022,0.162,5.327847457627118,5.326,5.329,5.327847457627118,5.329,1.6479999999999997,0,2000,,
rm-gs5u7zos3bv1aedq5,,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,ap-southeast-1a,MySQL,5.6,Running,2,4.0,2018-12-13T08:52:45Z,100,0.3244237288135594,0.316,0.341,0.3244237288135594,0.3338,4.2105500000000005,4.207,4.213,4.2105500000000005,4.213,4.1619666666666655,0,1000,,
rm-gs50k153ix6dr4100,marmot,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-12-20T04:04:08Z,100,0.27529999999999993,0.258,0.308,0.27529999999999993,0.3,5.8025166666666665,5.802,5.803,5.8025166666666665,5.803,4.0596000000000005,0,1000,,
rm-gs55on0mcb7rka71p,apfinorm,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-11-26T07:50:59Z,100,0.6385084745762711,0.591,0.708,0.6385084745762711,0.691,9.28618333333333,9.285,9.287,9.28618333333333,9.287,5.005516666666667,0,1000,,
rm-gs58b3yd30496r8w8,zmeta,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-12-20T04:03:11Z,100,0.2944067796610169,0.275,0.316,0.2944067796610169,0.308,4.263233333333334,4.262,4.265,4.263233333333334,4.264,3.881300000000001,0,1000,,
rm-gs5308q3xc9t8a959,sparkmeta,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-10-23T02:25:05Z,65,0.6521525423728813,0.624,0.683,0.6521525423728813,0.67405,4.0616166666666675,4.061,4.062,4.0616166666666675,4.062,6.272333333333332,0,1000,,
rm-gs5muo575tnzs3433,apgrowthmap,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-08-29T10:59:14Z,250,0.2647166666666666,0.221,0.324,0.2647166666666666,0.30839999999999995,5.415983333333334,5.414,5.418,5.415983333333334,5.418,1.3734500000000003,0,2000,,
rm-gs52k9q7987cf6v6d,promox,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-09-17T02:43:59Z,200,0.3082542372881356,0.291,0.333,0.30825,0.329,5.4525,5.451,5.453,5.4525,5.453,2.0680666666666667,0,2000,,
rm-gs5dg0l468mrish8c,apsmartgrowth,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,8,16.0,2018-11-13T07:05:40Z,100,0.12818644067796608,0.118,0.143,0.12826666666666664,0.137,4.6497666666666655,4.647,4.653,4.6497666666666655,4.652,5.920300000000001,0,4000,,
rm-gs5h3uptor2061u7o,mynt_bgl_meta,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.7,Running,4,8.0,2018-09-18T08:08:58Z,100,0.36774576271186443,0.35,0.387,0.36774576271186443,0.383,5.4337,5.423,5.451,5.4337,5.443099999999999,12.955416666666668,0,2000,,
rm-gs56jl2t64xzj0dl9,chameleon-sql,Primary,rds.mysql.c2.xlarge,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,16,64.0,2018-08-21T05:53:34Z,2400,0.07335593220338983,0.069,0.078,0.07335593220338983,0.078,6.808949152542373,6.808,6.809,6.80895,6.809,45.15299999999999,0,16000,,
rm-gs55583h31g09rhy2,apzfundcheck,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-07-30T11:28:43Z,200,0.7288499999999999,0.115,15.511,0.7288499999999999,1.3194499999999965,55.78608333333334,55.773,55.792,55.78608333333334,55.791,8.690016666666668,0,2000,,
rm-gs5wk19gk22p97qod,explorer,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-07-16T10:54:01Z,200,0.1589666666666667,0.153,0.166,0.1589666666666667,0.166,6.781516666666666,6.78,6.785,6.781516666666666,6.783,2.542633333333334,0,2000,,
rm-gs57et008r60744j3,dsocdb,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-07-06T04:34:59Z,3000,0.2818333333333333,0.25,0.312,0.2818333333333333,0.304,55.522316666666676,55.521,55.524,55.522316666666676,55.523050000000005,94.36006666666665,0,2000,,
rm-gs5l020vcqy2yjdsy,kepler,Primary,rds.mysql.m1.medium,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,16.0,2018-07-13T09:52:02Z,1000,0.18405000000000002,0.174,0.191,0.18405000000000002,0.191,12.70566666666667,12.705,12.707,12.70566666666667,12.706,22.193,0,4000,,
rm-gs59q7c87448at2m6,masweb,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-06-28T09:28:01Z,200,0.5125666666666667,0.499,0.55,0.5125666666666667,0.529,47.14826666666667,47.118,47.187,47.14826666666667,47.17505,9.105233333333334,0,2000,,
rm-gs5bz4ag9fiq37539,yunpushcore,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-06-28T07:56:27Z,200,0.28650000000000003,0.274,0.308,0.28650000000000003,0.3,5.246316666666668,5.241,5.25,5.246316666666668,5.249,2.094566666666667,0,1000,,
rm-gs57lm8xbuvbvoun5,dbpconsole_db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-06-07T15:22:08Z,40,0.5677833333333332,0.524,0.641,0.5677833333333332,0.6,4.477633333333333,4.475,4.481,4.477633333333333,4.47905,10.157283333333336,0,1000,,
rm-gs54qkyx51o53tn2x,fcsec_credibledb,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,8,16.0,2018-03-13T10:27:39Z,10,0.10873333333333333,0.104,0.114,0.10873333333333333,0.114,4.6217999999999995,4.621,4.622,4.6217999999999995,4.622,41.99005,0,4000,,
rm-gs527bkox9k8c8dul,mpaas,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-05-31T13:53:45Z,200,0.4891666666666667,0.437,0.766,0.4891666666666667,0.7452,5.910233333333333,5.906,5.922,5.910233333333333,5.91805,2.1639500000000003,0,2000,,
rm-gs51265bkg83t298u,dsg,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-03-06T04:10:03Z,500,0.7032833333333333,0.312,2.27,0.7032833333333333,2.0422499999999997,55.7095,55.689,55.728,55.7095,55.719,49.76370000000001,0,2000,,
rm-gs55845141951718l,daas_speedup,Primary,rds.mysql.c1.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,8,16.0,2018-03-01T09:54:02Z,1000,0.19955,0.15,1.029,0.19955,0.36469999999999997,54.98188333333334,54.978,54.986,54.98188333333334,54.985,39.97015000000001,0,4000,,
rm-gs53ye0t29xo72nb9,sharednosqlconsole,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-02-02T03:42:06Z,100,0.6359999999999999,0.591,0.699,0.6359999999999999,0.67405,4.014266666666666,4.014,4.016,4.014266666666666,4.016,3.3246499999999997,0,1000,,
rm-gs584j42r6n2q47l9,antxdb,Primary,rds.mysql.t1.small,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,1,1.0,2018-01-25T11:26:24Z,30,0.6633000000000001,0.616,0.7,0.6633000000000001,0.7,5.650949999999999,5.649,5.653,5.650949999999999,5.653,11.187999999999999,0,250,,
rm-gs5y496p306g01b2h,daas_pg,Primary,pg.x8.xlarge.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ2(b,c)",PostgreSQL,9.4,Running,8,64.0,2018-01-16T02:14:20Z,1000,16.162456140350876,5.22,31.377,16.162456140350876,26.2614,26.097877192982452,26.076,26.118,26.097877192982452,26.1172,43.16050877192982,0,3200,,
rm-gs5fp87y1029fpt1c,antscheduler-db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-01-25T09:44:04Z,50,1.1628000000000003,1.116,1.233,1.1628000000000003,1.2084,4.286666666666666,4.285,4.289,4.286666666666666,4.288,8.162183333333335,0,1000,,
rm-gs58u8429mzzsv5eb,ddsconsole-db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-01-05T03:48:11Z,100,0.28991666666666666,0.274,0.308,0.28991666666666666,0.30039999999999994,5.030466666666666,5.022,5.035,5.030466666666666,5.034,4.352050000000001,0,1000,,
rm-gs5ioeb03c42xay58,daas,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-01-15T10:56:01Z,2400,8.063433333333332,3.633,15.425,8.063433333333332,14.68895,58.20673333333333,57.639,58.539,58.20673333333333,58.522,76.70831666666666,0,2000,,
rm-gs5y73imufq0x9g0u,mq-confdb,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2018-01-05T03:16:04Z,200,0.4246499999999999,0.408,0.445,0.4246499999999999,0.437,13.091466666666665,13.086,13.097,13.091466666666665,13.097,2.781416666666666,0,2000,,
rm-gs5wk865ezppq4o2l,sharedosp-db-1,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2018-01-03T13:24:02Z,100,0.6830666666666666,0.641,0.741,0.6830666666666666,0.72405,4.1969,4.195,4.199,4.1969,4.19805,3.9152333333333336,0,1000,,
rm-gs54305u4rv46ds23,paas-04,Primary,mysql.x8.medium.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,16.0,2018-01-02T03:26:21Z,250,10.8242,8.192,16.667,10.8242,14.888499999999999,56.06831666666667,56.047,56.129,56.06831666666667,56.115500000000004,89.05328333333333,0,4000,,
rm-gs58h93nl63517964,paas-03,Primary,mysql.x8.medium.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,16.0,2018-01-02T03:26:20Z,250,39.652249999999995,27.283,54.016,39.652249999999995,53.079049999999995,17.359983333333336,17.351,17.365,17.359983333333336,17.365,3.2667833333333323,0,4000,,
rm-gs53w3224646tpwy2,paas-02,Primary,mysql.x8.medium.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,16.0,2018-01-02T03:26:19Z,250,2.6755666666666675,2.37,2.979,2.6755666666666675,2.9259,7.38675,7.361,7.422,7.38675,7.4110499999999995,3.5370666666666657,0,4000,,
rm-gs5n3f1h34874o395,paas-01,Primary,mysql.x8.large.2,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,32.0,2018-01-02T03:26:17Z,2000,0.4921666666666667,0.412,0.841,0.4921666666666667,0.6644999999999999,65.58173333333335,65.577,65.585,65.58173333333335,65.585,50.071633333333324,0,8000,,
rm-gs52w625y4046t512,scheduler-db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2017-12-29T09:04:01Z,50,0.3425500000000001,0.333,0.383,0.3425500000000001,0.358,4.149100000000001,4.148,4.151,4.149100000000001,4.151,7.877616666666666,0,1000,,
rm-gs5e4szkz122y2by4,drmdata-db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2017-12-29T08:48:01Z,50,9.204349999999998,7.455,10.624,9.204349999999998,10.16625,8.166166666666665,8.164,8.169,8.166166666666665,8.167,11.304549999999999,0,1000,,
rm-gs5xm18z4dfoi7i32,cloudinc-rds,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2017-12-26T13:24:02Z,100,0.4401999999999999,0.424,0.466,0.4401999999999999,0.458,4.131216666666666,4.13,4.132,4.131216666666666,4.132,3.227716666666667,0,1000,,
rm-gs5j5372p08ixlx16,dtx-db,Primary,rds.mysql.s3.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,4,8.0,2017-12-28T02:16:14Z,200,0.8248333333333334,0.683,0.941,0.8248333333333334,0.8916,5.855783333333333,5.837,5.877,5.855783333333333,5.877,2.4874666666666667,0,2000,,
rm-gs56gsxy736p1r035,dsrconsole-db,Primary,rds.mysql.s2.large,HighAvailability,ap-southeast-1,"ap-southeast-1MAZ1(a,b)",MySQL,5.6,Running,2,4.0,2017-12-29T08:48:03Z,50,19.497016666666664,16.566,24.382,19.497016666666664,22.70985,9.8307,9.826,9.834,9.8307,9.83305,16.622666666666664,0,1000,,
